"id","name","referralId","hasPerk","location.address","location.crossStreet","location.lat","location.lng","location.labeledLatLngs","location.distance","location.postalCode","location.cc","location.neighborhood","location.city","location.state","location.country","venuePage.id","delivery.id","delivery.url","delivery.provider.name","delivery.provider.icon.prefix","delivery.provider.icon.sizes","delivery.provider.icon.name","pluralName","shortName","icon","primary"
4bfddba0b68d0f47797ce957,Parker's Restaurant,v-1525633885,FALSE,60 School St,Tremont St,42.3578209535599,-71.0597948671766,list(label = "display", lat = 42.3578209535599, lng = -71.0597948671766),128,02108,US,Downtown Boston, Boston, MA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
4ae310cef964a520399021e3,Great Taste Bakery & Restaurant,v-1525633885,FALSE,31 Beach St,NA,42.3512906781393,-71.0601654957231,list(label = "display", lat = 42.3512906781393, lng = -71.0601654957231),845,02111,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Bakeries,Bakery,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/bakery_", suffix = ".png"),TRUE
4c91546ab641236ab6a68079,Q Restaurant,v-1525633885,FALSE,660 Washington St,at Beach St.,42.3517066295326,-71.062715247796,list(label = "display", lat = 42.3517066295326, lng = -71.062715247796),849,02111,US,NA,Boston,MA,United States,466191906,NA,NA,NA,NA,NULL,NA,Hotpot Restaurants,Hotpot,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4aa91a1af964a520fe5120e3,Primo's Restaurant,v-1525633885,FALSE,28 Myrtle St,NA,42.3593237399603,-71.0655827926918,list(label = "display", lat = 42.3593237399603, lng = -71.0655827926918),539,02114,US,NA,Boston,MA,United States,NA,55345,https://www.grubhub.com/restaurant/primos-pizza-28-myrtle-st-beacon-hill/55345?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=55345,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Pizza Places,Pizza,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/pizza_", suffix = ".png"),TRUE
4bb21286f964a52094b63ce3,Moon Villa Restaurant,v-1525633885,FALSE,19 Edinboro St,Near Beach St.,42.3518835471294,-71.059554212224,list(label = "display", lat = 42.3518835471294, lng = -71.059554212224),775,02111,US,NA,Boston,MA,United States,NA,559914,https://www.grubhub.com/restaurant/moon-villa-restaurant-19-edinboro-st-boston/559914?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=559914,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4b08321cf964a520ff0523e3,New Jumbo Seafood Restaurant,v-1525633885,FALSE,5 Hudson St,NA,42.3509021593608,-71.0598952290317,list(label = "display", lat = 42.3509021593608, lng = -71.0598952290317),886,02111,US,NA,Boston,MA,United States,NA,328037,https://www.grubhub.com/restaurant/new-jumbo-seafood-5-hudson-street-boston/328037?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=328037,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4a04e5aff964a5203e721fe3,Montien Boston - Thai Restaurant,v-1525633885,FALSE,63 Stuart St,Tremont St,42.3510941602041,-71.0644977068821,list(label = "display", lat = 42.3510941602041, lng = -71.0644977068821),971,02116,US,NA,Boston,MA,United States,45938603,74700,https://www.grubhub.com/restaurant/montien-thai-restaurant-63-stuart-st-boston/74700?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=74700,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Thai Restaurants,Thai,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/thai_", suffix = ".png"),TRUE
4b1afebdf964a5200cf623e3,Billy Tse's Restaurant,v-1525633885,FALSE,240 Commercial St,NA,42.3638316360847,-71.0511147137643,list(label = "display", lat = 42.3638316360847, lng = -71.0511147137643),857,02109,US,NA,Boston,MA,United States,52131703,317519,https://www.grubhub.com/restaurant/billy-tse-240-commercial-street-boston/317519?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=317519,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Sushi Restaurants,Sushi,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/sushi_", suffix = ".png"),TRUE
4b9011b7f964a520a87333e3,No Name Restaurant,v-1525633885,FALSE,15 Fish Pier St W,NA,42.3503840291564,-71.0383210433848,list(label = "display", lat = 42.3503840291564, lng = -71.0383210433848),1947,02210,US,NA,Boston,MA,United States,94436668,NA,NA,NA,NA,NULL,NA,Seafood Restaurants,Seafood,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/seafood_", suffix = ".png"),TRUE
518564e8498e25e8f94c2679,Carrie Nation Restaurant and Cocktail Club,v-1525633885,FALSE,11 Beacon St,at Somerset St,42.358315646667,-71.0614581344728,list(label = "display", lat = 42.358315646667, lng = -71.0614581344728),206,02108,US,NA,Boston,MA,United States,63759699,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
5723dff7498e3ca50f74cdff,Joy Luck Hot Pot Restaurant,v-1525633885,FALSE,702 Washington St,NA,42.3509645602024,-71.0628140824694,list(label = "display", lat = 42.3509645602024, lng = -71.0628140824694),929,02111,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Restaurants,Restaurant,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
4bf18c843506ef3bea63bd22,Saus Restaurant,v-1525633885,FALSE,33 Union St,Marsh Lane,42.3610763238033,-71.0570542078555,list(label = "display", lat = 42.3610763238033, lng = -71.0570542078555),298,02108,US,NA,Boston,MA,United States,NA,382651,https://www.grubhub.com/restaurant/saus-33-union-st-boston/382651?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=382651,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Belgian Restaurants,Belgian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
4a7783edf964a520b7e41fe3,Amrheins Restaurant,v-1525633885,FALSE,80 W Broadway,NA,42.3418162420845,-71.0553111002587,list(label = "display", lat = 42.3418162420845, lng = -71.0553111002587),1919,02127,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Bars,Bar,list(prefix = "https://ss3.4sqi.net/img/categories_v2/nightlife/pub_", suffix = ".png"),TRUE
586d78f9de0cbc0b7f87e131,Monument Restaurant & Tavern,v-1525633885,FALSE,251 Main St,School,42.3768747675794,-71.0660135872558,list(label = "display", lat = 42.3768747675794, lng = -71.0660135872558),2087,02129,US,NA,Charlestown,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Gastropubs,Gastropub,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/gastropub_", suffix = ".png"),TRUE
4b50fb2bf964a520c53b27e3,Ninety Nine Restaurant,v-1525633885,FALSE,29-31 Austin St,NA,42.374881,-71.067056,list(label = "display", lat = 42.374881, lng = -71.067056),1903,02129,US,NA,Charlestown,MA,United States,NA,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
43e9e7eff964a520202f1fe3,Toro Restaurant,v-1525633885,FALSE,1704 Washington St,at Massachusetts Ave,42.3370533530225,-71.0760430691192,list(label = "display", lat = 42.3370533530225, lng = -71.0760430691192),2799,02118,US,NA,Boston,MA,United States,152001223,NA,NA,NA,NA,NULL,NA,Tapas Restaurants,Tapas,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/tapas_", suffix = ".png"),TRUE
4aec58d2f964a52035c621e3,Thornton's Restaurant & Cafe,v-1525633885,FALSE,150 Huntington Ave,at W Newton St,42.3452876281612,-71.0820099010667,list(label = "display", lat = 42.3452876281612, lng = -71.0820099010667),2417,02115,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Diners,Diner,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/diner_", suffix = ".png"),TRUE
502bd747e4b082dc2d00820d,Pulcinella Mozzarella Bar and Restaurant,v-1525633885,FALSE,78 Salem St,NA,42.3636928775767,-71.0558717773272,list(label = "display", lat = 42.3636928775767, lng = -71.0558717773272),600,02113,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Italian Restaurants,Italian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/italian_", suffix = ".png"),TRUE
577edcd6498e3d3cc5450d0f,North 26 Restaurant & Bar,v-1525633885,FALSE,26 North St,NA,42.3606892224802,-71.0559767002328,list(label = "display", lat = 42.3606892224802, lng = -71.0559767002328),326,02109,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Restaurants,Restaurant,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
57d6e30e498eda3cf77ba69b,Mooo Restaurant,v-1525633885,FALSE,15 Beacon St,NA,42.3581918867291,-71.061865335172,list(label = "display", lat = 42.3581918867291, lng = -71.061865335172),242,02108,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Steakhouses,Steakhouse,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/steakhouse_", suffix = ".png"),TRUE
4a3408e3f964a5209a9b1fe3,Rock Bottom Restaurant and Brewery,v-1525633885,FALSE,115 Stuart St,at Tremont St,42.3513291709402,-71.0653274379183,list(label = "display", lat = 42.3513291709402, lng = -71.0653274379183),982,02116,US,NA,Boston,MA,United States,NA,751929,https://www.grubhub.com/restaurant/rock-bottom-restaurant--brewery-115-stuart-st-boston/751929?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=751929,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Breweries,Brewery,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/brewery_", suffix = ".png"),TRUE
3fd66200f964a5205dec1ee3,Tapeo Restaurant and Tapas Bar,v-1525633885,FALSE,266 Newbury St,btwn Gloucester & Fairfield,42.3493474651342,-71.0833017302555,list(label = "display", lat = 42.3493474651342, lng = -71.0833017302555),2257,02116,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Tapas Restaurants,Tapas,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/tapas_", suffix = ".png"),TRUE
4af4e050f964a5202af721e3,Pearl Villa Restaurant,v-1525633885,FALSE,25 Tyler St,at Kneeland St,42.35069,-71.06101,list(label = "display", lat = 42.35069, lng = -71.06101),921,02111,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Chinese Restaurants,Chinese,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
4a7edacef964a52035f21fe3,S&S Restaurant,v-1525633885,FALSE,1334 Cambridge St,at Oak St.,42.3735362570611,-71.0999339109625,list(label = "display", lat = 42.3735362570611, lng = -71.0999339109625),3739,02139,US,NA,Cambridge,MA,United States,NA,NA,NA,NA,NA,NULL,NA,Diners,Diner,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/diner_", suffix = ".png"),TRUE
4fb3e9febe77d18702013307,Empire Restaurant & Lounge,v-1525633885,FALSE,1 Marina Park Dr,NA,42.3529769881577,-71.0453865901713,list(label = "display", lat = 42.3529769881577, lng = -71.0453865901713),1299,02210,US,NA,Boston,MA,United States,92136587,NA,NA,NA,NA,NULL,NA,Asian Restaurants,Asian,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/asian_", suffix = ".png"),TRUE
534f07e9498e5cc70137182b,The Causeway Restaurant and Pub,v-1525633885,FALSE,65 Causeway St,Lancaster,42.3646590394484,-71.0629118340386,list(label = "display", lat = 42.3646590394484, lng = -71.0629118340386),721,02114,US,NA,Boston,MA,United States,NA,NA,NA,NA,NA,NULL,NA,BBQ Joints,BBQ,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/bbqalt_", suffix = ".png"),TRUE
40b28c80f964a52056f81ee3,Christopher's Restaurant & Bar,v-1525633885,FALSE,1920 Massachusetts Ave,at Porter Rd.,42.3891464647326,-71.1199843883514,list(label = "display", lat = 42.3891464647326, lng = -71.1199843883514),6041,02140,US,NA,Cambridge,MA,United States,NA,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
3fd66200f964a5202eec1ee3,Jacob Wirth Restaurant,v-1525633885,FALSE,31-37 Stuart St,btwn Tremont & Washington,42.3510679569499,-71.0638476009456,list(label = "display", lat = 42.3510679569499, lng = -71.0638476009456),950,02116,US,NA,Boston,MA,United States,45589570,NA,NA,NA,NA,NULL,NA,German Restaurants,German,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/german_", suffix = ".png"),TRUE
4b2c4ebef964a5209fc524e3,Mount Vernon Restaurant,v-1525633885,FALSE,14 Broadway,at Mt Vernon St.,42.3861330298449,-71.0782083404712,list(label = "display", lat = 42.3861330298449, lng = -71.0782083404712),3422,02145,US,NA,Somerville,MA,United States,NA,NA,NA,NA,NA,NULL,NA,American Restaurants,American,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/default_", suffix = ".png"),TRUE
4ae7950ef964a52099ac21e3,Chart House Restaurant,v-1525633885,FALSE,60 Long Wharf,NA,42.3601117589278,-71.0495353646804,list(label = "display", lat = 42.3601117589278, lng = -71.0495353646804),795,02110,US,NA,Boston,MA,United States,NA,471877,https://www.grubhub.com/restaurant/chart-house-60-long-wharf-boston/471877?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=471877,grubhub,https://igx.4sqi.net/img/general/cap/,c(40, 50),/delivery_provider_grubhub_20180129.png,Seafood Restaurants,Seafood,list(prefix = "https://ss3.4sqi.net/img/categories_v2/food/seafood_", suffix = ".png"),TRUE
